ID;HTS;TAMHOGAR;INGFAM;SEXO;AUTLIC;HORA;ORIGEN;DESTINO;JEFEHOGAR;NUMAUTO;NUMEST;NUMTRAB;LICTOT;CANTALT;ELECCION;TV1;TV2;TV3;TV4;TV5;TV6;TV7;TV8;TV9;TV6A;TV6M;TV7A;TV7M;TV8T;TV8M;TV9B;TV9M;TC1;TC2;TC3;TC4;TC5;TC6;TC7;TC8;TC9;TE3;TE4;TE5;TE6;TE7;TE8;TE9;CT1;CT2;CT3;CT4;CT5;CT6;CT7;CT8;CT9;DISP1;DISP2;DISP3;DISP4;DISP5;DISP6;DISP7;DISP8;DISP9
376;44;2;20;1;0;800;409;512;1;0;0;1;0;3;5;0;0;0;0;33.45;0;0;20.77;25.02;0;0;0;0;8.07;12.7;12.32;12.7;0;0;0;0;13.68;0;0;6.12;6.12;0;0;2;0;0;5.5;8;0;0;0;0;1.36;0;0;2.21;2.21;0;0;0;0;1;0;0;1;1
377;50;5;36;0;1;835;306;512;0;1;1;2;1;4;5;6.83;0;0;0;12.97;11.12;0;0;10.97;3.92;7.2;0;0;0;0;4.77;6.2;5.4;0;0;0;3;6.72;0;0;8.88;0;0;0.5;3.2;0;0;3.5;2.92;0;0;0;1.36;1.9;0;0;2.21;1;0;0;0;1;1;0;0;1
378;48;5;115;1;0.5;740;712;33;1;1;3;2;2;3;4;0;0;14.35;15.1;28.97;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7.92;11.28;8.28;0;0;0;0;0.4;1.3;0.7;0;0;0;0;0;0;2.04;0.44;0.68;0;0;0;0;0;0;1;1;1;0;0;0;0
379;48;2;120;0;0.5;755;709;33;0;1;0;2;2;4;4;0;12.33;12.43;11.5;26.57;0;0;0;0;0;0;0;0;0;0;0;0;0;2.4;5.63;7.08;5.63;0;0;0;0;0.3;1.3;0.3;0;0;0;0;0;0.41;2.04;0.44;0.68;0;0;0;0;0;1;1;1;1;0;0;0;0
380;55;4;140;1;0.5;740;306;512;1;1;0;2;2;7;5;6.1;6.1;5.47;0;10.62;10.17;13.45;0;10.42;2.97;7.2;6.25;7.2;0;0;4.22;6.2;5.4;0;9.23;0;3;3.12;1.92;0;3.23;0.4;0;0.5;3.2;3.2;0;3.5;2.82;0.88;2.72;0;1.36;1.9;0.88;0;2.21;1;1;1;0;1;1;1;0;1
381;50;2;50;0;1;815;518;700;1;1;0;1;1;4;1;26.23;0;22.07;0;43.87;22.47;0;0;0;7.37;15.1;0;0;0;0;0;0;3.6;0;6.3;0;6.3;6.37;0;0;0;0.5;0;4.3;1.3;0;0;0;4.96;0;2.04;0;0.68;1.8;0;0;0;1;0;1;0;1;1;0;0;0
382;50;2;50;0;1;815;518;700;1;1;0;1;1;4;1;26.23;0;22.07;0;43.87;22.47;0;0;0;7.37;15.1;0;0;0;0;0;0;3.6;0;6.3;0;6.3;6.37;0;0;0;0.5;0;4.3;1.3;0;0;0;4.96;0;2.04;0;0.68;1.8;0;0;0;1;0;1;0;1;1;0;0;0
383;50;5;180;1;1;830;317;700;1;2;2;1;2;8;1;18.3;18.3;16.38;0;28.75;19.67;28.78;18.87;21.35;4.57;15.1;13.68;15.1;3.77;15.1;6.25;15.1;0.97;0.97;6.3;0;6.67;6.37;6.37;6.9;6.9;0.4;0;0.7;1.3;1.3;1.7;1.5;1.36;0.68;1.7;0;0.68;1.43;0.44;1.29;1.05;1;1;1;0;1;1;1;1;1
384;45;4;65;1;1;700;411;512;1;1;2;1;1;5;1;13.28;0;0;0;17.52;15.9;0;15.88;16.55;3.2;12.7;0;0;3.18;12.7;3.85;12.7;7.2;0;0;0;3.6;6.97;0;6.97;6.97;0;0;0.5;3.2;0;3.8;3.4;3.57;0;0;0;1.36;1.84;0;2.21;2.21;1;0;0;0;1;1;0;1;1
385;50;2;115;1;0.5;815;709;33;1;1;0;1;2;4;4;13.6;0;13.57;12.8;27.68;0;0;0;0;0;0;0;0;0;0;0;0;7.2;0;7.68;8.63;7.68;0;0;0;0;0.4;1.3;0.3;0;0;0;0;1.67;0;2.04;0.44;0.68;0;0;0;0;1;0;1;1;1;0;0;0;0
386;50;4;140;1;0.5;805;411;512;1;1;2;2;2;7;5;16.8;16.8;0;0;17.75;14.6;16.1;14.6;14.7;1.9;12.7;3.4;12.7;1.9;12.7;2;12.7;5.4;0;0;0;3.6;6.97;5.77;6.97;6.97;0;0;0.5;3.2;3.2;3.8;3.4;4.79;1.87;0;0;1.36;1.94;0.88;2.21;2.21;1;1;0;0;1;1;1;1;1
387;50;4;140;1;0.5;805;411;512;1;1;2;2;2;7;5;16.8;16.8;0;0;17.75;14.6;16.1;14.6;14.7;1.9;12.7;3.4;12.7;1.9;12.7;2;12.7;5.4;0;0;0;3.6;6.97;5.77;6.97;6.97;0;0;0.5;3.2;3.2;3.8;3.4;4.79;1.87;0;0;1.36;1.94;0.88;2.21;2.21;1;1;0;0;1;1;1;1;1
388;46;2;75;1;1;820;501;113;1;1;0;2;1;3;1;12.43;0;0;11.4;14.32;0;0;0;0;0;0;0;0;0;0;0;0;6.72;0;0;6.97;7.43;0;0;0;0;0;3.2;0.3;0;0;0;0;4.76;0;0;0.85;1.36;0;0;0;0;1;0;0;1;1;0;0;0;0
389;46;2;75;1;1;820;501;113;1;1;0;2;1;3;1;12.43;0;0;11.4;14.32;0;0;0;0;0;0;0;0;0;0;0;0;6.72;0;0;6.97;7.43;0;0;0;0;0;3.2;0.3;0;0;0;0;4.76;0;0;0.85;1.36;0;0;0;0;1;0;0;1;1;0;0;0;0
390;40;2;120;0;0.5;845;105;701;0;1;0;2;2;6;2;7.95;9.42;8.07;0;15.83;11.57;17.68;0;0;5.07;6.5;11.18;6.5;0;0;0;0;6.97;0.6;1.32;0;4.68;2.03;2.03;0;0;0.6;0;1.5;1.3;1.3;0;0;4.83;0.41;2.04;0;0.61;1.43;0.48;0;0;1;1;1;0;1;1;1;0;0
391;45;3;110;1;0.5;830;404;512;0;1;0;2;2;7;1;13.58;14.2;0;0;16.82;12.6;19.58;12.93;12.97;1.2;11.4;8.18;11.4;1.53;11.4;1.57;11.4;5.28;0;0;0;4.08;4.32;3.12;4.57;4.57;0;0;0.3;3.2;3.2;3.8;3.4;6.36;1.16;0;0;1.36;1.7;0.85;2.21;2.21;1;1;0;0;1;1;1;1;1
392;40;2;120;0;0.5;845;105;701;0;1;0;2;2;6;2;7.95;9.42;8.07;0;15.83;11.57;17.68;0;0;5.07;6.5;11.18;6.5;0;0;0;0;6.97;0.6;1.32;0;4.68;2.03;2.03;0;0;0.6;0;1.5;1.3;1.3;0;0;4.83;0.41;2.04;0;0.61;1.43;0.48;0;0;1;1;1;0;1;1;1;0;0
393;50;4;180;1;1;830;119;701;1;2;2;2;2;6;6;12.68;0;14.08;0;33.53;18.93;0;19.42;23.17;4.93;14;0;0;5.42;14;9.17;14;3.37;0;6.23;0;6.48;2.03;0;6.72;6.72;0.6;0;1.6;1.3;0;1.9;2.9;5.27;0;2.04;0;0.68;4.11;0;1.63;1.12;1;0;1;0;1;1;0;1;1
394;42;3;38;0;0;745;516;701;1;0;1;1;1;5;3;0;0;22.03;0;38.4;0;21.6;22.4;25.3;0;0;7.6;14;8.4;14;11.3;14;0;0;3.6;0;3.83;0;2.03;4.08;7.08;0.5;0;1.6;0;1.3;1.8;2.3;0;0;1.7;0;0.68;0;0.48;1.46;1.12;0;0;1;0;1;0;1;1;1
395;42;3;38;0;0;745;516;701;1;0;1;1;1;5;3;0;0;22.03;0;38.4;0;21.6;22.4;25.3;0;0;7.6;14;8.4;14;11.3;14;0;0;3.6;0;3.83;0;2.03;4.08;7.08;0.5;0;1.6;0;1.3;1.8;2.3;0;0;1.7;0;0.68;0;0.48;1.46;1.12;0;0;1;0;1;0;1;1;1
396;65;7;67;1;0;750;414;512;1;0;4;1;1;4;5;0;0;15.27;0;22.9;0;0;16.22;17.82;0;0;0;0;3.52;12.7;5.12;12.7;0;0;8.52;0;9.23;0;0;7.8;7.8;1.3;0;1.3;0;0;4.5;3.5;0;0;2.72;0;1.7;0;0;2.21;1.87;0;0;1;0;1;0;0;1;1
